"gene","avg_log2FC","p_val_adj"
"RGS6",3.33482818116294,2.45527847465989e-44
"TENM2",3.32830267528486,7.72292242001038e-103
"CACNA2D3",3.31915995526259,7.49460059461245e-65
"DLGAP1",3.318995788205,1.46330595945664e-138
"LINC01378",3.31753986457128,1.46322074390363e-21
"GRM1",3.31366326641031,4.15047116911502e-27
"RGS7",3.31318460345798,3.74494209271455e-77
"NETO1",3.30994160435449,7.84911643098804e-31
"CTNNA2",3.3090542344143,5.55176809870013e-128
"KCNH7",3.30753244104534,2.91918224820775e-40
"CNTN5",3.30697147785595,4.61011909988974e-63
"ASIC2",3.30561038403792,1.64245458173721e-38
"UNC13C",3.30448808904517,1.54564303435906e-17
"MTUS2",3.30348963477367,2.33127912411506e-54
"NEBL",3.29716789882634,3.46712955620783e-58
"XKR4",3.29640539606083,7.74750102726064e-33
"B3GALT1",3.29232328037351,3.64715922208177e-28
"ADARB2",3.28699042026935,6.6413007283394e-35
"ZNF804B",3.28661223818333,1.58781955964056e-19
"TNR",3.28578617468074,1.39311953148874e-28
"TESHL",3.28573190294495,1.10896109960807e-28
"CDH18",3.28063216994267,4.05983356690313e-58
"PAK5",3.2706854940276,7.933197002534e-24
"LRFN5",3.26370181233138,6.84945262822025e-54
"DGKB",3.25639945548835,1.70734599459289e-51
"HECW1",3.24879019709342,1.58493112369715e-39
"KALRN",3.24482942831928,6.05342978539462e-67
"CDH9",3.24446718785282,4.82580635218298e-26
"LINC01122",3.24245406878168,1.51816085202962e-31
"DPP10",3.23267029335863,1.24305246220644e-117
"TMEM108",3.23191441783911,8.27801044140952e-39
"ZNF385B",3.22373284733723,8.85098787195269e-41
"STXBP5L",3.21273591971469,2.45446176062302e-84
"KSR2",3.21059233963423,9.48361664393623e-31
"RALYL",3.2100935321687,1.71674484405603e-95
"DCC",3.20122203018379,1.58522046640096e-35
"FLRT2",3.19818317328677,3.98666877064707e-46
"SGCZ",3.19462970266013,5.85505996073961e-32
"CDH12",3.19176796978921,6.18114584722076e-45
"PCSK2",3.18394814335737,1.38180928638755e-32
"NRXN1",3.18361141825404,1.15483918849826e-192
"ADCY2",3.18300047431719,1.04677537939096e-43
"CADPS",3.18158187026667,3.61715762109365e-61
"PDZRN3",3.18156850844327,7.07550338111017e-24
"CDH13",3.1806222100713,1.31035561686572e-38
"SYNPR",3.17779661794474,5.6775296711164e-27
"FRMPD4",3.17723909568281,4.16662231011113e-63
"GABRB1",3.16231517337221,5.15710451356999e-50
"MYT1L",3.15248371017997,2.02696331380587e-64
"OLFM3",3.14695763580939,1.51172014722045e-36
"EFNA5",3.14691039169038,1.66009520981733e-51
"ZMAT4",3.14412194386474,1.14589206302841e-20
"ENSG00000291065",3.13605051661925,2.44458554600208e-23
"WNK2",3.13230054132282,4.15097238653502e-21
"ST8SIA5",3.13036589624579,1.85105681703647e-22
"DCLK1",3.11949722202844,3.12986189617569e-63
"CACNG3",3.11342489586098,8.29807272082305e-25
"LSAMP",3.10251390943139,5.29970614715165e-217
"KCNH1",3.10003188323704,1.38429390817079e-27
"MDGA2",3.09996296767495,1.90040058455214e-67
"FMN2",3.09898827937645,2.89464473200755e-45
"GRM5",3.08663974019018,6.78577102675342e-54
"KCNQ5",3.08128008095257,4.19709887712598e-95
"LRP1B",3.07742995357637,5.99289456847453e-157
"MMP16",3.06706299345579,7.25718135425263e-42
"GRIN2A",3.05250833558087,2.86327673249625e-52
"EPHA6",3.04889353852803,1.01482718249598e-45
"NTRK3",3.04699001794783,6.7457576887073e-38
"PTCHD1-AS",3.04684595736344,1.12547990453943e-16
"NELL1",3.0441384504223,1.89005576820396e-28
"CCSER1",3.03904048135992,1.15047054548152e-98
"GRIA4",3.03257844620027,3.25498446122779e-51
"CNTNAP2",3.0271898152488,5.77659118217816e-167
"GRIN2B",3.02066953920259,1.29056136994359e-45
"ZNF385D",3.02063292347687,9.15910429082033e-30
"CACNA1B",3.0183425238917,5.47087349696632e-37
"ABLIM1",3.01048358914598,1.4631183340926e-46
"RIMS1",3.00950699824137,3.86798247299987e-37
"TMEM132B",3.00508602254508,2.59103568561241e-32
"SLC44A5",3.0044615341767,5.83670990568226e-21
"SHANK2",3.00134624115052,1.67448615929027e-17
"LDB2",2.99055710885332,1.46892086534735e-49
"SLC35F3",2.96610916362035,2.41114429126021e-36
"PCDH7",2.95942497795961,5.9810431369532e-59
"AGBL4",2.9501686713904,2.15196798061313e-54
"CNTN3",2.94866947674297,1.80030181643661e-24
"ARPP21",2.94822177368965,7.57007204999376e-48
"FAT3",2.94655167683397,1.33898077867355e-29
"CDH10",2.94343702662549,3.04150998816805e-22
"KAZN",2.94060926075077,4.39168470741952e-80
"KCNC2",2.938337032164,1.04161092015961e-38
"TMEM178B",2.93065876029906,5.73139015550737e-36
"TMEM132D",2.92708321509423,1.5837716803204e-39
"HCN1",2.92342142878702,8.36066981536259e-30
"RIMS2",2.91082550769025,3.48773027816288e-71
"DGKI",2.90633565173385,2.93121457692897e-34
"FGF12",2.90318328887772,6.90670375260759e-71
"TMTC1",2.89531361211866,4.46666674078672e-21
"MEIS2",2.89426776837646,1.38042891679563e-19
"NRXN3",2.89390937809747,5.8990003957678e-126
"PTPRT",2.89086094950646,1.19592966488734e-31
"PDE10A",2.89058952697655,6.63676871262853e-19
"TRIM9",2.88086242532613,1.25180226725508e-51
"NEGR1",2.87531162614778,1.64400802158582e-97
"ANKS1B",2.87169775792257,6.28887509272297e-119
"PLCB1",2.86969425252284,1.95309334794257e-90
"ADGRL2",2.86822777580607,1.11054615399682e-40
"ADGRV1",2.86817345188282,1.93049501604531e-15
"RYR2",2.85473023926936,6.05258139616629e-70
"CSMD3",2.85254716281882,3.97958325531267e-57
"GABRG3",2.84995715759741,8.20407138937924e-23
"ADAM23",2.84811638393271,6.3447188970789e-23
"UNC5D",2.84657975820192,1.30025360797363e-28
"SRRM4",2.84255355187118,1.91905288441563e-26
"CSMD2",2.82683312750029,2.21572444019184e-16
"PRICKLE1",2.82604718913335,3.86332880981104e-19
"PDZD2",2.81692297124939,1.58738473920722e-34
"ERBB4",2.81689330024387,1.25089211244316e-72
"KCTD8",2.81273862943565,6.46794499506421e-22
"KCNJ3",2.8112878246616,2.14068389210808e-26
