"celltype","n_NC","n_AD","feature","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Astro",9388,12032,"HUERS-P3b",0.00542135430785604,-0.0591080925958847,0.269,0.289,0.325281258471363
"Astro",9388,12032,"Harlequin",0.00723691775131269,0.0985536765985793,0.435,0.427,0.434215065078762
"Astro",9388,12032,"HERVH48",0.00764141741878469,-0.106912832262774,0.164,0.179,0.458485045127081
"Astro",9388,12032,"HERVK14",0.0120629872161935,-0.127461232606475,0.179,0.191,0.723779232971611
"Astro",9388,12032,"HERVFH21",0.0179540681273638,0.401408851061354,0.055,0.048,1
"Astro",9388,12032,"LTR19",0.027260135510769,-0.153125891544499,0.123,0.134,1
"Astro",9388,12032,"HERVE",0.0326089553688886,0.0722443058638449,0.426,0.429,1
"Astro",9388,12032,"LTR46",0.0435174814434492,-0.0720367668718072,0.128,0.14,1
"Astro",9388,12032,"HERVK13",0.0582122340881908,0.0588724297400864,0.337,0.345,1
"Astro",9388,12032,"HERVP71A",0.059506887514365,-0.0938293573977375,0.173,0.179,1
"Astro",9388,12032,"HERV3",0.062031906283314,-0.0108133431126285,0.328,0.342,1
"Astro",9388,12032,"HERVL32",0.0727078417861227,-0.121556789540059,0.164,0.172,1
"Astro",9388,12032,"HERVK11D",0.0845042787408766,0.00624897843812233,0.08,0.076,1
"Astro",9388,12032,"PABL-A",0.106028010245853,-0.0453997622284046,0.22,0.222,1
"Astro",9388,12032,"LTR25",0.118217174381023,0.0450744276012878,0.423,0.425,1
"Astro",9388,12032,"HERVIP10FH",0.18157066341991,-0.0091753974586255,0.227,0.219,1
"Astro",9388,12032,"HERVS71",0.212974877854701,0.015939190381777,0.383,0.388,1
"Astro",9388,12032,"HERVK22",0.225229066309645,-0.0455686673147529,0.256,0.263,1
"Astro",9388,12032,"LTR57",0.247943744877069,-0.00510903968577825,0.089,0.087,1
"Astro",9388,12032,"LTR23",0.263788171560527,0.0170209329246947,0.242,0.252,1
"Astro",9388,12032,"HERVL74",0.276877613428485,0.0330417708958697,0.381,0.387,1
"Astro",9388,12032,"PRIMA4",0.373129164268993,-0.0332979261925417,0.225,0.233,1
"Astro",9388,12032,"HERVL18",0.482418563804582,-0.0959164716599661,0.067,0.07,1
"Astro",9388,12032,"PABL-B",0.528428926278699,0.0053755928285748,0.112,0.111,1
"Astro",9388,12032,"PRIMA41",0.585499846461941,-0.0105558200330517,0.26,0.265,1
"Astro",9388,12032,"HUERS-P2",0.639164840893841,-0.00477348223290563,0.377,0.383,1
"Astro",9388,12032,"PRIMAX",0.700985157690391,0.0285832790661116,0.32,0.323,1
"Astro",9388,12032,"HERVFH19",0.702883839177643,0.0733024566010561,0.185,0.18,1
"Astro",9388,12032,"HERVIP10F",0.791824281946132,0.0519415824750862,0.147,0.148,1
"Astro",9388,12032,"HERVK3",0.887522915849459,0.0483849963915937,0.242,0.241,1
"Astro",9388,12032,"HERVL66",0.993151163137829,0.140249557723052,0.065,0.066,1
"Inhib",12254,15060,"HERVH",4.2053269181221e-30,0.153143024895853,0.841,0.828,2.52319615087326e-28
"Inhib",12254,15060,"HERVFH19",9.61824646819837e-20,-0.0107772914098624,0.31,0.275,5.77094788091902e-18
"Inhib",12254,15060,"HERVP71A",1.7169612128922e-15,-0.0123859328308428,0.291,0.26,1.03017672773532e-13
"Inhib",12254,15060,"HUERS-P2",1.77708355861277e-15,0.130684347544474,0.428,0.381,1.06625013516766e-13
"Inhib",12254,15060,"HERVL32",4.10407412190302e-15,0.044305215782559,0.291,0.26,2.46244447314181e-13
"Inhib",12254,15060,"HERVH48",9.88634446286423e-15,-0.00134411646848998,0.182,0.157,5.93180667771854e-13
"Inhib",12254,15060,"PRIMA41",1.8668685050099e-14,0.0133310196400006,0.364,0.33,1.12012110300594e-12
"Inhib",12254,15060,"Harlequin",2.81700617717274e-14,0.185152073341525,0.516,0.479,1.69020370630364e-12
"Inhib",12254,15060,"HERVK14",6.29655844714093e-14,-0.136351705479465,0.264,0.248,3.77793506828456e-12
"Inhib",12254,15060,"ERV3-16A3-I",6.46143808914751e-14,0.0540812632694196,0.894,0.89,3.8768628534885e-12
"Inhib",12254,15060,"HERVIP10FH",8.74366393449714e-14,0.0403562072162701,0.328,0.296,5.24619836069829e-12
"Inhib",12254,15060,"LTR23",1.44872234924018e-13,-0.067676954727068,0.342,0.32,8.69233409544106e-12
"Inhib",12254,15060,"PABL-B",1.61674415565636e-13,0.061609909633568,0.192,0.165,9.70046493393815e-12
"Inhib",12254,15060,"HERV3",2.58302829629679e-13,0.243833437663037,0.353,0.309,1.54981697777807e-11
"Inhib",12254,15060,"PABL-A",8.07245078579294e-13,-0.0591192979235194,0.322,0.296,4.84347047147577e-11
"Inhib",12254,15060,"LTR19",8.23594205063221e-13,0.0906518941288617,0.182,0.155,4.94156523037933e-11
"Inhib",12254,15060,"HERVIP10F",1.30141263881045e-12,-0.10886636734532,0.311,0.296,7.80847583286271e-11
"Inhib",12254,15060,"HERVL74",2.08397284546055e-12,0.139508700899414,0.506,0.466,1.25038370727633e-10
"Inhib",12254,15060,"HERVK3",5.8737239204499e-12,0.0223144095740659,0.315,0.286,3.52423435226994e-10
"Inhib",12254,15060,"HERVL66",8.97933680683604e-12,0.0640790425308047,0.15,0.126,5.38760208410163e-10
"Inhib",12254,15060,"HERV17",4.42474723521895e-10,-0.0200947088518092,0.369,0.347,2.65484834113137e-08
"Inhib",12254,15060,"HERVK11D",8.77826797256988e-10,0.127786731258382,0.167,0.144,5.26696078354193e-08
"Inhib",12254,15060,"HERVL18",1.01530815356282e-09,-0.101658896463364,0.147,0.132,6.09184892137692e-08
"Inhib",12254,15060,"HERVL",1.38259703801171e-09,0.054361749152775,0.875,0.871,8.29558222807026e-08
"Inhib",12254,15060,"HERVE",4.85384752525841e-09,0.141111457361926,0.514,0.478,2.91230851515504e-07
"Inhib",12254,15060,"HERVE-a",7.58864419140877e-09,0.116417352298411,0.11,0.091,4.55318651484526e-07
"Inhib",12254,15060,"HERVK22",8.81183414370626e-09,0.000936748906782872,0.384,0.359,5.28710048622376e-07
