,celltype,n_NC,n_AD,subfamily,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
84,Astro,9388,12032,HERVH-int,5.64E-08,-0.120810202,0.319,0.357,3.38E-06
85,Astro,9388,12032,HERVK13-int,1.31E-07,-0.380658164,0.113,0.132,7.87E-06
86,Astro,9388,12032,MER101-int,1.86E-07,-0.261448908,0.135,0.161,1.12E-05
87,Astro,9388,12032,ERVL-E-int,6.25E-07,-0.125303247,0.372,0.408,3.75E-05
88,Astro,9388,12032,HERVK11-int,6.47E-07,-0.062738759,0.114,0.135,3.88E-05
89,Astro,9388,12032,HERVK14C-int,2.64E-05,-0.377775308,0.057,0.07,0.001586725
90,Astro,9388,12032,ERV3-16A3-I-int,0.000114232,-0.13951225,0.268,0.292,0.006853935
91,Astro,9388,12032,HUERS-P1-int,0.000515031,-0.211682935,0.108,0.124,0.030901879
92,Astro,9388,12032,MER41-int,0.001156325,-0.059974428,0.276,0.299,0.069379497
93,Astro,9388,12032,HERVK14-int,0.00149426,-0.266186396,0.083,0.094,0.089655584
94,Astro,9388,12032,HERV3-int,0.001570421,0.226878693,0.23,0.217,0.094225277
95,Astro,9388,12032,ERVL-B4-int,0.00521273,-0.124160961,0.196,0.214,0.312763794
96,Astro,9388,12032,HERV17-int,0.005989519,-0.127665575,0.115,0.129,0.359371155
97,Astro,9388,12032,LTR25-int,0.01859192,-0.07680225,0.242,0.259,1
98,Astro,9388,12032,Harlequin-int,0.019639434,0.065058461,0.457,0.453,1
99,Astro,9388,12032,HERVL-int,0.031724401,-0.024393587,0.267,0.283,1
100,Astro,9388,12032,HERVP71A-int,0.044379216,-0.278455493,0.076,0.082,1
101,Astro,9388,12032,HUERS-P3b-int,0.066451539,-0.134359992,0.091,0.096,1
102,Astro,9388,12032,HERVS71-int,0.068174505,-0.012286902,0.087,0.095,1
103,Astro,9388,12032,HERVK22-int,0.070362803,-0.030378376,0.126,0.124,1
104,Astro,9388,12032,HERVK3-int,0.125534275,-0.144708779,0.095,0.101,1
105,Astro,9388,12032,HERV9-int,0.145034179,-0.104082642,0.049,0.055,1
106,Astro,9388,12032,HERVIP10FH-int,0.327186075,0.06529176,0.176,0.169,1
107,Astro,9388,12032,HERVIP10F-int,0.424644918,0.194875926,0.108,0.102,1
108,Astro,9388,12032,MER4B-int,0.42732579,-0.022240612,0.25,0.257,1
109,Astro,9388,12032,PRIMA4-int,0.461754378,0.05992596,0.123,0.125,1
110,Astro,9388,12032,HERVK-int,0.470461816,-0.014338261,0.326,0.334,1
111,Astro,9388,12032,HUERS-P3-int,0.541014356,-0.034747513,0.091,0.096,1
112,Astro,9388,12032,PRIMA41-int,0.682651722,-0.006996238,0.113,0.112,1
113,Astro,9388,12032,HERVL40-int,0.79683415,0.014773721,0.116,0.115,1
114,Astro,9388,12032,HERV4-I-int,0.954653202,0.078945754,0.139,0.139,1
115,Inhib,12254,15060,HERV3-int,4.53E-74,1.147810633,0.202,0.126,2.72E-72
116,Inhib,12254,15060,MER101-int,1.22E-17,-0.111973841,0.21,0.189,7.34E-16
117,Inhib,12254,15060,PRIMA41-int,2.34E-17,0.066034369,0.097,0.073,1.40E-15
118,Inhib,12254,15060,HERVL40-int,2.46E-15,-0.133445226,0.23,0.212,1.48E-13
119,Inhib,12254,15060,HERVK22-int,3.12E-15,-0.07076128,0.195,0.17,1.87E-13
