"celltype","n_NC","n_AD","feature","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Oligo",31245,42753,"ERVLB4-6q23.2c",0.0216018791897205,-0.104838468705157,0.065,0.069,1
"Oligo",31245,42753,"HARLEQUIN-6p21.31",0.121906163007425,0.0713962251738494,0.056,0.053,1
"Oligo",31245,42753,"HERVIP10FH-21q22.12",0.127075617260275,-0.0873964107236678,0.088,0.091,1
"Oligo",31245,42753,"HERV4-1q22b",0.222053622124432,0.193018528467067,0.059,0.057,1
"Oligo",31245,42753,"HARLEQUIN-17q21.31",0.28908487484873,0.0752839366177023,0.065,0.063,1
"Astro",9388,12032,"HML3-1p32.3",3.0948304152188e-12,-0.307430706638911,0.187,0.226,7.9846624712645e-10
"Astro",9388,12032,"HML4-16p13.3",1.47937175226348e-09,-0.482068726079196,0.094,0.113,3.81677912083979e-07
"Astro",9388,12032,"HML3-1q32.1b",2.41832227146567e-08,-0.547597388956457,0.06,0.077,6.23927146038142e-06
"Astro",9388,12032,"HML1-1q32.1",3.82181881402609e-08,-0.653082849708063,0.044,0.054,9.86029254018732e-06
"Astro",9388,12032,"HERVK11-1p13.3",3.81413702022019e-06,-0.110333295383154,0.04,0.052,0.000984047351216808
"Astro",9388,12032,"PRIMA41-19p12d",7.72129172476303e-06,0.366955317298402,0.062,0.047,0.00199209326498886
"Astro",9388,12032,"HARLEQUIN-1p36.33",0.000913311860177341,-0.146424748152951,0.056,0.069,0.235634459925754
"Astro",9388,12032,"HML2-10p14",0.0149257578572769,-0.356307805380984,0.048,0.054,1
"Astro",9388,12032,"HARLEQUIN-7q33b",0.0177806092873405,-0.219747623745921,0.064,0.073,1
"Astro",9388,12032,"LTR25-7q11.21",0.0491011822227618,0.208355828784566,0.082,0.075,1
"Astro",9388,12032,"MER4-1q21.2",0.0576795042645928,-0.103113899278398,0.068,0.065,1
"Astro",9388,12032,"HERV3-7q11.21",0.0583612515827631,-0.0643057407687166,0.052,0.05,1
"Astro",9388,12032,"MER41-6q22.31b",0.118093528959186,0.0762525595614028,0.064,0.068,1
"Astro",9388,12032,"HARLEQUIN-17q21.31",0.121231325702635,0.0813506413832807,0.114,0.106,1
"Astro",9388,12032,"MER4B-7p14.3",0.149853625136489,0.160662712524113,0.088,0.081,1
"Astro",9388,12032,"HUERSP1-Xp22.2",0.177041296057704,-0.16005076245159,0.074,0.08,1
"Astro",9388,12032,"PRIMA4-10p12.1",0.496571986033171,-0.0395055046515562,0.056,0.054,1
"Astro",9388,12032,"HERV4-1q22b",0.497038111820312,0.210467564551732,0.074,0.071,1
"Astro",9388,12032,"HARLEQUIN-Xq23b",0.645530361318003,-0.0162190443166063,0.183,0.188,1
"Astro",9388,12032,"HML2-3q12.3",0.869697547658318,0.0371205546868068,0.201,0.204,1
"Astro",9388,12032,"HERV3-19p12c",0.937215518135279,0.0409093356375041,0.12,0.12,1
"Inhib",12254,15060,"HERV3-1p34.3",4.14820923952326e-151,2.94953918868852,0.087,0.019,1.070237983797e-148
"Inhib",12254,15060,"HML3-1q32.1b",8.73645683870937e-46,-1.22558490455134,0.059,0.087,2.25400586438702e-43
"Inhib",12254,15060,"HML1-1q32.1",9.2568496254678e-26,-0.98287009164022,0.049,0.065,2.38826720337069e-23
"Inhib",12254,15060,"HARLEQUIN-6p21.31",7.20509668034235e-19,0.204665586468582,0.098,0.072,1.85891494352833e-16
"Inhib",12254,15060,"HARLEQUIN-Xq23b",3.72673954484783e-18,0.0952615050897083,0.287,0.246,9.6149880257074e-16
"Inhib",12254,15060,"MER101-3p21.31",1.37790990166792e-16,-0.254593851883909,0.07,0.056,3.55500754630322e-14
"Inhib",12254,15060,"HARLEQUIN-21q22.3a",2.67903661416448e-16,0.332135950384513,0.059,0.038,6.91191446454435e-14
"Inhib",12254,15060,"HERVIP10F-2q21.2",3.23770949932247e-14,-0.091580087279312,0.129,0.113,8.35329050825196e-12
"Inhib",12254,15060,"HERVP71A-12p13.32",1.63527145297778e-13,-0.0151580631504746,0.06,0.045,4.21900034868268e-11
"Inhib",12254,15060,"PRIMA41-19p12d",1.72505384469914e-13,0.249078456764818,0.056,0.039,4.45063891932378e-11
"Inhib",12254,15060,"HML2-3q12.3",1.83718255262707e-13,-0.0279866171608307,0.205,0.184,4.73993098577784e-11
"Inhib",12254,15060,"HARLEQUIN-17q21.31",3.41152993374381e-13,0.00970328258733311,0.176,0.152,8.80174722905904e-11
"Inhib",12254,15060,"HML4-16p13.3",2.70477673311843e-12,-0.0229909949363432,0.129,0.109,6.97832397144555e-10
"Inhib",12254,15060,"MER4B-5q14.1",1.2285947858623e-11,-0.0711876729473606,0.057,0.045,3.16977454752472e-09
"Inhib",12254,15060,"ERVLE-3q13.33c",1.52607678915495e-11,0.0787692372903184,0.106,0.087,3.93727811601977e-09
"Inhib",12254,15060,"PRIMA4-10p12.1",2.72094420832082e-11,-0.0704074679646887,0.193,0.176,7.02003605746772e-09
"Inhib",12254,15060,"HML5-2p13.2",7.60458570366964e-11,-0.143136569852138,0.07,0.057,1.96198311154677e-08
"Inhib",12254,15060,"HML3-5p15.33d",3.21697574183032e-10,-0.0412796239745594,0.067,0.054,8.29979741392221e-08
"Inhib",12254,15060,"MER4B-7p14.3",5.2665814898707e-10,-0.203570756385922,0.097,0.089,1.35877802438664e-07
"Inhib",12254,15060,"ERVLB4-20p12.3c",5.29271287864602e-09,0.213343240218487,0.053,0.04,1.36551992269067e-06
"Inhib",12254,15060,"HML3-5p15.33c",3.4402432076297e-08,0.154777795822044,0.063,0.049,8.87582747568463e-06
"Inhib",12254,15060,"HERVL40-6q22.32",4.01731008456651e-08,-0.2434383892349,0.058,0.049,1.03646600181816e-05
"Inhib",12254,15060,"MER4-16q24.3",8.43034957106902e-08,0.124236688490123,0.058,0.044,2.17503018933581e-05
"Inhib",12254,15060,"HUERSP3-11p15.1",2.78109957543445e-07,-0.393166556717107,0.053,0.053,7.17523690462088e-05
"Inhib",12254,15060,"HERVIP10F-3p21.31",3.33161380989091e-05,0.0381089049618484,0.061,0.053,0.00859556362951854
"Inhib",12254,15060,"ERVLE-6q22.32",4.03751450834214e-05,-0.0274150374218922,0.061,0.052,0.0104167874315227
"Inhib",12254,15060,"HARLEQUIN-19p13.11",8.81493879641835e-05,0.307204274251669,0.065,0.053,0.0227425420947593
"Inhib",12254,15060,"ERVLE-15q11.2",9.05880536989401e-05,0.0255682370679122,0.066,0.057,0.0233717178543265
"Inhib",12254,15060,"MER4-4p16.3a",0.000128050054377686,0.075127744504401,0.06,0.05,0.0330369140294431
"Inhib",12254,15060,"HERVK11-2p12",0.000144957541620502,0.0480177666383441,0.08,0.069,0.0373990457380895
"Inhib",12254,15060,"MER4-3q29f",0.000332790557576353,-0.255370711230972,0.066,0.068,0.085859963854699
"Inhib",12254,15060,"MER41-6q22.31b",0.000644426529506776,-0.151445081647878,0.057,0.051,0.166262044612748
