,celltype,n_NC,n_AD,feature,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
98,Mic,4346,6060,HARLEQUIN,0.000763982,0.171665942,0.454,0.416,0.013751667
99,Mic,4346,6060,HERVE,0.002804861,0.21599233,0.097,0.08,0.050487503
100,Mic,4346,6060,HUERS,0.00485672,-0.105905107,0.175,0.171,0.087420967
101,Mic,4346,6060,HERVF,0.008521157,-0.101902771,0.05,0.043,0.153380823
102,Mic,4346,6060,ERV1,0.037368656,-0.109064248,0.175,0.175,0.672635814
103,Mic,4346,6060,HERVS,0.080046619,-0.143751976,0.101,0.101,1
104,OPC,5911,6954,MER4,6.88E-07,-0.077580825,0.729,0.769,1.24E-05
105,OPC,5911,6954,ERVL,1.86E-05,0.00384866,0.616,0.646,0.000334724
106,OPC,5911,6954,HERVW,5.12E-05,-0.236622904,0.199,0.229,0.0009222
107,OPC,5911,6954,HERVK,8.00E-05,-0.028714118,0.631,0.666,0.001440416
108,OPC,5911,6954,LTR,0.001659962,-0.123728936,0.307,0.336,0.029879322
109,OPC,5911,6954,HERVL,0.005734429,-0.074561597,0.432,0.46,0.103219721
110,OPC,5911,6954,ERV1,0.00637166,0.232622216,0.298,0.287,0.114689885
111,OPC,5911,6954,HARLEQUIN,0.02288874,0.10167542,0.472,0.464,0.411997324
112,OPC,5911,6954,HERVH,0.037986149,0.072653543,0.395,0.415,0.683750679
113,OPC,5911,6954,HERVS,0.050521871,-0.07198939,0.146,0.161,0.909393676
114,OPC,5911,6954,HERVE,0.067431526,0.011883843,0.238,0.255,1
115,OPC,5911,6954,PRIMA,0.102057868,-0.018344475,0.152,0.146,1
116,OPC,5911,6954,ERV3,0.172715509,0.135751155,0.324,0.323,1
117,OPC,5911,6954,PAB,0.187939841,-0.046297451,0.065,0.062,1
118,OPC,5911,6954,HERVP,0.201864923,-0.092596509,0.085,0.08,1
119,OPC,5911,6954,HUERS,0.583301159,0.08725863,0.267,0.271,1
120,OPC,5911,6954,HERVI,0.616345956,0.012510698,0.309,0.316,1
121,OPC,5911,6954,HERVF,0.645153286,-0.06227993,0.081,0.085,1
122,All,90772,116237,ERV1,3.31E-63,0.298967673,0.263,0.246,5.97E-62
123,All,90772,116237,HARLEQUIN,1.53E-59,0.12971619,0.491,0.485,2.75E-58
124,All,90772,116237,MER4,1.14E-43,-0.064689887,0.727,0.753,2.05E-42
125,All,90772,116237,HERVK,1.42E-33,-0.061014093,0.619,0.645,2.56E-32
126,All,90772,116237,HERVH,2.16E-33,-0.042856106,0.403,0.43,3.88E-32
127,All,90772,116237,ERVL,3.60E-22,-0.032387095,0.581,0.601,6.48E-21
128,All,90772,116237,HUERS,2.98E-19,-0.040635917,0.285,0.304,5.37E-18
129,All,90772,116237,HERVW,5.70E-16,-0.127009342,0.222,0.234,1.03E-14
130,All,90772,116237,HERVL,5.30E-14,-0.0288903,0.432,0.448,9.54E-13
131,All,90772,116237,ERV3,2.77E-11,-0.047044155,0.351,0.366,4.98E-10
132,All,90772,116237,LTR,4.27E-11,-0.02998547,0.275,0.288,7.69E-10
133,All,90772,116237,HERVP,1.40E-06,-0.128500331,0.096,0.098,2.52E-05
134,All,90772,116237,HERVF,3.56E-06,-0.017234664,0.096,0.102,6.41E-05
135,All,90772,116237,HERVE,3.24E-05,0.01233723,0.137,0.144,0.000583657
136,All,90772,116237,HERVS,3.82E-05,-0.044612098,0.133,0.14,0.000687066
137,All,90772,116237,HERVI,0.012554152,-0.002960944,0.369,0.375,0.225974732
138,All,90772,116237,PRIMA,0.049172959,0.02201879,0.207,0.21,0.885113265
139,All,90772,116237,PAB,0.062676717,-0.00776436,0.08,0.083,1
