"gene","avg_log2FC","p_val_adj"
"ATP5F1B",1.9683075948286,0
"RPS9",1.9667717207235,0
"TLE5",1.96672670984023,0
"SRP9",1.96665342853241,0
"MTCH1",1.96500594544333,0
"LSM14B",1.96412972022275,2.44456352944213e-306
"FBXL16",1.96344690203571,0
"STMN3",1.96306921838723,0
"TTC9",1.95662523485916,5.36920090327187e-292
"ATP5F1A",1.95333852082473,0
"CCT7",1.95289603352271,0
"PSMD8",1.95023976616642,0
"TCEAL2",1.94636376021022,0
"TOMM20",1.94631536411632,0
"PSMC3",1.94564806697955,0
"SOD2",1.94381598933342,0
"PEBP1",1.94102108724923,0
"GNG3",1.93873079917232,0
"PEA15",1.93849730492,0
"MZT2B",1.93836920944498,0
"ATP1A1",1.93696121815865,0
"C19orf53",1.93137686667155,3.02565147942982e-285
"UHMK1",1.92871232289317,0
"SCAND1",1.92843166946407,7.05288590751296e-319
"WSB2",1.92818796896518,0
"JPT1",1.92695834688947,0
"COPS8",1.92291086010627,0
"SYT11",1.92045911137068,0
"UQCRB",1.91849208265523,0
"ARF1",1.91846093084893,0
"PSAP",1.91785382268853,0
"EEF1A2",1.91714110245407,0
"ARL6IP5",1.91305466449077,0
"NDUFAB1",1.91124552654353,0
"VDAC1",1.90699306320078,0
"SLC25A3",1.90627117035612,0
"NHP2",1.90555624513124,0
"B4GAT1",1.90474483993691,0
"TMEM167A",1.9038973928612,0
"USP5",1.90316716643985,0
"S100A6",1.89979948170667,0
"HYOU1",1.8990780728066,0
"ATP5PB",1.8989487416407,0
"IL6ST",1.89412210657063,0
"PITHD1",1.89296855628299,0
"RPS11",1.89241798790884,0
"MLLT11",1.89002726647558,0
"SNX17",1.8896850844148,1.93303195048409e-273
"CKB",1.8890902441469,0
"ATXN7L3B",1.88584698141629,0
"SCN2B",1.88570222104963,0
"VPS35",1.88557827303974,0
"TOMM7",1.88423333136114,0
"SV2A",1.88372482439089,0
"HSP90AB1",1.88255709170108,0
"SMIM29",1.88201261861311,0
"NDUFA3",1.87891392224257,0
"NACA",1.87890443064974,0
"NDUFB7",1.87884053122348,0
"NAPB",1.8786636643264,0
"ACTB",1.87613131494441,0
"RPL11",1.87576529588034,0
"RTL8A",1.87498446220456,3.49678525366369e-299
"ATP6V1B2",1.87367769322851,0
"PLEKHB2",1.87358650661123,0
"SBDS",1.87198275001266,1.15514216155368e-301
"LGI3",1.8706781926791,0
"PCSK1",1.87051714246321,0
"TOMM34",1.86925632376118,0
"POLR2I",1.86832463542117,7.65625862686878e-295
"RPL14",1.86789662833432,0
"RPL36",1.86690037345025,0
"TCEAL3",1.86643469363199,0
"RABAC1",1.8656383410664,0
"H2AZ1",1.86473150029515,0
"EEF2",1.86451223766991,0
"BEX5",1.8644570681424,0
"SCN1B",1.86414479952297,0
"YIPF3",1.86390178431875,0
"BCAP31",1.86213921935486,0
"EIF4H",1.86175008891381,0
"MAP1LC3B",1.86094582693695,0
"MPC2",1.85769247687125,0
"PNMA1",1.85755068905075,0
"PPIB",1.8557084256243,7.82359905787942e-278
"CACYBP",1.85452518592183,0
"CUTA",1.85270364806565,0
"TMEM35A",1.85211844424927,0
"RPL38",1.85116433447735,0
"RLIM",1.85070936197158,0
"AURKAIP1",1.85062640446519,0
"BANF1",1.84884942383626,0
"PSMB3",1.84772287493028,0
"UBQLN2",1.84664989702665,0
"PGK1",1.84531034618319,0
"DRAP1",1.84510162744472,0
"AP2S1",1.84497733549217,0
"APLP1",1.8435911117064,0
"SULT4A1",1.84084052181995,0
"TMEM130",1.84015739333989,0
"TUSC2",1.83893059425948,0
"RETREG2",1.83745041443302,0
"DDN",1.83679304079345,0
"GNAS",1.83490000896265,0
"TGOLN2",1.83370999082504,0
"ATP5PD",1.83349978369168,3.21872208596462e-301
"HTATSF1",1.8324425832671,0
"GABARAPL1",1.83085851219921,0
"TIMM13",1.82996050957388,1.17954433171821e-207
"DIRAS1",1.82956760605355,0
"RSL1D1",1.82824374122929,0
"DNAJC5",1.82769085220982,0
"VSTM2L",1.82534026334423,0
"DKK3",1.82461765597827,0
"ARHGDIG",1.82454713562739,0
"CEND1",1.82431223182097,0
"AP2A1",1.82273604979844,0
"SMIM43",1.82165477444251,0
"CDK5",1.82087045221056,0
"OAT",1.81948817443849,0
"EIF1",1.81740380099768,0
"MOB4",1.81591333663302,0
"IGFBP5",1.81369627037038,1.68788149536519e-266
"IDI1",1.81253276215095,0
"DNER",1.81154317474628,0
"SERINC3",1.81064996613095,0
"ARL1",1.81030845292164,0
"RHOB",1.80748906561428,0
"ARMCX3",1.80742502667382,0
"MZT1",1.8066252430061,0
"MARCHF2",1.80596903192802,3.51646895646044e-311
"BNIP3",1.80349655709979,0
"ATP5F1D",1.80255603243038,0
"ARCN1",1.80243772650825,0
"AGPAT1",1.80137586126496,0
"COPG1",1.80119558052533,0
"RPL30",1.80068596275888,0
"MYL6",1.79974073427686,0
"CHMP4B",1.79688399756141,0
"SLC9A6",1.79603279959476,0
"ATOX1",1.79531346866542,3.02425157466955e-240
"ATP6V1G1",1.79520272785953,0
"GLRX2",1.79478378213237,1.57913721151324e-293
"MDH1",1.79337884984751,0
"BBLN",1.79308246802764,0
"TXN2",1.79275602479104,2.91504233446345e-290
"UCHL1",1.79252687392029,0
"NDRG4",1.78980777362004,0
"DYNLL2",1.78923390639148,0
"PNMA6A",1.78558858702007,0
"CCT5",1.78510635318748,0
"OTUB1",1.78394765623086,0
"VDAC3",1.78126950264427,0
"NCOA4",1.77956076469944,0
"FKBP4",1.77743396852744,0
